Date,Train-Test,Board,Board_Type,Wheel_Diameter,Wheel_Durometer,City_State,Route,Distance,Calories,Avg_HR,Max_HR,Avg_Speed,Max_Speed,Total_Ascent,Total_Descent,Min_Temp,Number_of_Laps,Min_Elevation,Max_Elevation,Temp,Relative_Humidity,Wind_Speed
3/24/22 16:09,Train,,,,,"Ripon, WI",ripon_west_loop,9.52,514,120,164,8.1,14.8,253,269,60.8,2,844,934,35.06,89,8.077823
3/27/22 13:26,Train,Antidote Cyclone,Top Mount,75,80,"Ripon, WI",ripon_west_loop,9.95,472,119,166,8.7,14.3,423,420,39.2,2,904,996,19.04,49,13.8565733
3/28/22 15:57,Train,Gbomb C27,Platform,80,78.5,"Ripon, WI",ripon_west_loop,10.01,609,149,175,11.2,18.1,285,302,64.4,3,911,994,24.08,40,11.4332264
4/1/22 15:42,Train,,,,,"Ripon, WI",ripon_west_loop,10,545,139,170,11.1,17.5,305,302,53.6,2,914,993,33.98,59,10.3147586
4/3/22 14:11,Train,,,,,"Ripon, WI",ripon_west_loop,9.95,589,147,174,11.4,17.2,262,289,60.8,2,913,1010,39.92,73,3.3554034
4/5/22 8:48,Train,,,,,"Ripon, WI",radio_road_to_sheldon,10.63,559,133,170,10.4,16.6,282,299,53.6,3,935,1030,35.96,89,4.7224196
4/9/22 11:55,Train,,,,,"Ripon, WI",ripon_west_loop,9.98,425,123,158,11.1,18.3,282,325,48.2,2,895,989,28.94,78,6.9593552
4/10/22 7:07,Train,,,,,"Ripon, WI",ripon_west_loop,10,613,146,174,10.7,15.9,282,322,50,2,858,953,30.02,78,3.3554034
4/15/22 15:59,Train,,,,,"Ripon, WI",ripon_west_loop,10.03,440,121,153,10.1,16.4,541,564,50,3,939,1025,37.04,48,13.8565733
4/17/22 8:28,Train,,,,,"Ripon, WI",radio_road_to_hill,12.96,552,124,151,11.1,18.8,354,400,42.8,3,912,1033,24.98,68,4.7224196
4/19/22 16:03,Train,,,,,"Ripon, WI",ripon_west_partial,6.05,337,128,155,9.5,16.6,184,154,60.8,2,923,1012,41,53,12.7381055
4/21/22 16:40,Train,,,,,"Ripon, WI",ripon_west_loop,9.98,527,133,166,10.8,20.2,377,381,66.2,2,933,1012,59,41,18.3304445
4/22/22 6:21,Train,,,,,"Ripon, WI",radio_road_to_K,4.08,190,108,130,7.6,13.6,72,161,50,1,911,994,42.98,62,6.9593552
4/23/22 14:43,Train,,,,,"Ripon, WI",radio_road_to_sheldon,10.05,632,147,171,9.2,20.7,774,735,82.4,3,960,1071,62.06,78,12.7381055
4/24/22 14:13,Train,,,,,"Ripon, WI",ripon_west_partial,7.35,419,128,155,8.4,15.4,564,561,75.2,2,906,1002,64.94,70,25.2897997
4/26/22 8:31,Train,,,,,"Ripon, WI",ripon_west_loop,10,451,121,145,10.1,17.3,289,331,39.2,3,885,990,35.96,73,14.9750411
4/28/22 11:27,Train,,,,,"Ripon, WI",radio_road_to_hill,12.88,775,137,169,9.7,17.4,482,505,46.4,3,903,990,35.06,66,10.3147586
5/1/22 18:14,Train,,,,,"Ripon, WI",ripon_west_loop,10.01,578,141,164,10.1,16.1,302,348,53.6,3,889,988,50,80,16.0935089
